X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-0.262,0.001
685,0,2.02,5,,
686,5.2,2.08,5,,
687,-0.2,2.02,-0.4,,
688,5.2,2.08,5,,
689,0,2.02,-0.2,,
690,5.2,2.08,5,,
691,0,2.04,-0.2,,
692,5.2,2.12,5,,
693,-0.2,2.04,-0.2,,
694,5.2,2.12,5,,
695,-0.2,2.04,-0.2,,
696,5.2,2.04,5,,
697,-0.2,2.12,-0.2,,
698,5.2,2.12,5,,
699,0,2.02,-0.2,,
700,5.2,2.12,5,,
701,0,2.04,-0.2,,
702,5.2,2.08,5,,
703,0,2.12,-0.2,,
704,5.2,2.02,5,,
705,0,2.12,-0.2,,
706,-0.2,2.14,-0.2,,
707,5.2,2.06,5,,
708,5.2,2.06,-0.2,,
709,-0.2,2.12,5,,
710,0,2.12,-0.2,,
711,5.2,2,5,,
712,0,2.04,5,,
713,5.2,2.14,-0.4,,
714,0,2.06,-0.2,,
715,5.2,2.14,5,,
716,-0.2,2.08,-0.2,,
717,5.2,2.14,5,,
718,0,2.08,-0.2,,
719,5.2,2.14,5,,
720,0,2.08,-0.2,,
721,5.2,2.14,5,,
722,0,2.14,-0.2,,
723,5.2,2.08,5,,
724,5.2,2.1,-0.2,,
725,-0.2,2.14,5,,
726,0,2.14,-0.2,,
727,5.2,2.02,5,,
728,-0.2,2.1,5,,
729,5.2,2.16,-0.2,,
730,0,2.14,5,,
731,5.2,2,-0.2,,
732,0,2.14,5,,
733,5.2,2.08,-0.4,,
734,-0.2,2.14,5,,
735,5.2,1.96,-0.2,,
736,0,2.1,5,,
737,5.2,2.18,-0.2,,
738,-0.2,2.08,5,,
739,5.2,2.18,-0.2,,
740,0,2.1,5,,
741,5.2,2.18,-0.2,,
742,0,2.08,5,,
743,5.2,2.18,-0.2,,
744,-0.2,2.18,5,,
745,5.2,2.08,-0.2,,
746,5.2,2.06,5,,
747,-0.2,2.18,-0.2,,
748,0,2.18,5,,
749,5.2,2.04,-0.4,,
750,5.2,2.18,5,,
751,-0.2,2.12,-0.2,,
752,0,2.12,-0.2,,
753,5.2,2.2,5,,
754,5.2,2.12,-0.2,,
755,0,2.2,5,,
756,5.2,2.2,5,,
757,-0.2,2.12,-0.4,,
758,5.2,2.2,-0.2,,
759,0,2.12,5,,
760,5.2,2.2,-0.2,,
761,-0.2,2.12,5,,
762,5.2,2.12,-0.2,,
763,-0.2,2.2,5,,
764,5.2,2.2,-0.2,,
765,0,2.12,5,,
766,5.2,2.2,-0.2,,
767,-0.2,2.1,5,,
768,5.2,2.2,5,,
769,-0.2,2.02,-0.2,,
770,5.2,2.2,5,,
771,0,2.12,-0.2,,
772,5.2,2.2,5,,
773,0,2.04,-0.2,,
774,5.2,2.2,5,,
775,0,2.16,-0.2,,
776,5.2,2.2,5,,
777,-0.2,2.16,-0.2,,
778,5.2,2.16,5,,
779,-0.2,2.2,-0.2,,
780,5.2,2.2,5,,
781,-0.2,2.14,-0.2,,
782,5.2,2.2,5,,
783,-0.2,2.16,-0.2,,
784,5.2,2.16,5,,
785,0,2.2,-0.2,,
786,5.2,2.22,5,,
787,-0.2,2.16,-0.2,,
788,5.2,2.16,5,,
789,0,2.24,-0.2,,
790,5.2,2.24,-0.2,,
791,-0.2,2.16,5,,
792,5.2,2.24,-0.2,,
793,-0.2,2.14,5,,
794,5.2,2.24,-0.2,,
795,-0.2,2.16,5,,
796,5.2,2.24,-0.2,,
797,0,2.16,5,,
798,5.2,2.24,-0.2,,
799,-0.2,2.16,5,,
800,5.2,2.18,-0.2,,
801,-0.2,2.24,5,,
802,5.2,2.24,-0.2,,
803,0,2.16,5,,
804,5.2,2.24,-0.2,,
805,-0.2,2.16,5,,
806,0,2.24,-0.2,,
807,5.2,2.16,5,,
808,0,2.18,-0.2,,
809,5.2,2.24,5,,
810,-0.2,2.24,-0.2,,
811,5.2,2.16,5,,
812,5.2,2.18,5,,
813,-0.2,2.24,-0.2,,
814,0,2.18,5,,
815,5.2,2.26,-0.2,,
816,0,2.18,5,,
817,5.2,2.26,-0.2,,
818,0,2.18,5,,
819,5.2,2.26,-0.2,,
820,5.2,2.26,5,,
821,-0.2,2.18,-0.2,,
822,0,2.2,5,,
823,5.2,2.26,-0.2,,
824,-0.2,2.18,5,,
825,5.2,2.26,-0.2,,
826,-0.2,2.18,5,,
827,5.2,2.26,-0.2,,
828,0,2.18,5,,
829,5.2,2.26,-0.2,,
830,0,2.18,5,,
831,5.2,2.26,-0.4,,
832,0,2.2,5,,
833,5.2,2.26,-0.2,,
834,-0.2,2.14,-0.2,,
835,5.2,2.26,5,,
836,-0.2,2.18,5,,
837,5.2,2.28,-0.4,,
838,0,2.26,-0.2,,
839,5.2,2.22,5,,
840,0,2.22,-0.2,,
841,5.2,2.28,5,,
842,0,2.28,-0.2,,
843,5.2,2.22,5,,
844,0,2.22,-0.2,,
845,5.2,2.3,5,,
846,5.2,2.28,-0.2,,
847,-0.2,2.22,5,,
